a, an	wį, wįxce
abalone	hcúke
abandon someone	kihkoopse, ohkíðe
abdomen	hcéze, wánǫbréoožú
abhor	íisi
abnormal in appearance	éžixci 
abode	ohcíle
abound	ochí
about (i.e., 'almost', as in 'about asleep'), about to	ðóha
above	mąšíhta
above: be ~ others	álįįha
above: go, be, or place something ~	ámąši
above: place ~	mąšíhta
above something else	ámąši
abroad	níimąse
abrupt, abruptly	óhesaži
absent: be ~	ðįké
absurd	ókaaɣeįke
abundance	óše
abundance: disorderly ~	táatą ochí
abundant: be ~ in quantity	óše
accept	iiną́hi
accompany	žóle
accomplish a task for someone (especially drumming for someone else's singing in a peyote meeting)	áwaši
ace (in a deck of cards)	ohką́cilą
achieve success for someone	ðáalį kšíðe
acorn	hposú
acquainted: be ~ with	ípahǫ
acquainted: get or become ~ with each other	ðótahkiðe
acrid smell	zą́zi
across	áðuuhta
act (noun)	ók'ą 
act a certain way	mąðį́
act like	íkǫskahkíðe, ók'a
act unsuitably	ók'a eži 
act with rectitude	óðohtąhkiðe
activate by pushing on	paaɣí 
active	wahtóke
add a little more to	wéhuužį
add in cooking	oðóhkihą
add items to cooking	oolą́
address as friends and relatives, address with respect	wahǫ́į
adhere to	ásta
adjacent	páskuha
adjourn	panáa
administer medical care to someone	šcéðe
admire	óžo áži
adulthood, adults	nǫ́ǫ
advance: in ~	hpahą́le
advanced age	nǫ́ǫ
affect a person	omą́ðį
affected: have one's body ~ by peyote	mą́hkažóika
afraid	ðą́ące óðisąha, ðą́ące ósai
afraid: be ~ (of)	nǫ́ǫhpe, onį́žį
afraid: be ~ of	íinǫǫhpe
afraid: something to be ~ of	nǫ́ǫhpewaðe
African American	mįhkása, mįįása, níhka sápe
after	álįįha
after the present event	ákahahta
afternoon	mį́įðóhta ðiišta
afternoon: late ~	mį́įhpapo
afterward	álįįha
afterward (after the present event)	ákahahta
afterward (following, next)	áhkiha
again	aðóoha, ši
again and again	šíną
against: be ~	ížoši
against: place vertically ~	álą
against all odds	ðąącháži
ago	haašíhta
ago: a long time ~	kaahúuža
agree, agree with	iiną́hi
agree with something	íištą
ahead	kootáha
ahead: go ~	mąðį́
ahead: go ~ with something	ékiǫ
aid (verb)	óhką
air	htaacé
airplane; ride or fly in an ~	kį́į
alcohol; drink ~	waðáahtą
alcoholic beverage	hpéecenii
alert	wahtóke
alight (from)	ósi, owísi
alight from (e.g., a vehicle or a horse)	wísi
alive: be ~	ní
all	záani
all: that's ~	kaašéną, kaašǫ́įke
all day (long)	hą́ąpa záani
all night: stay ~	žą́ą
all other things	táatą éžiški
all over, all paths and directions (e.g., children running off in all directions)	háaški
all right	škaškáða
all the time	háachi, štą
all the world, all the universe	niǫhta záani
allow someone to do something	kšiðe
allow to live	níðe
almost	ðóha, hóni
alone, be alone	éwažį
alone, leave ~ (a sitting person or thing)	šǫ́įkšeðe
alone, leave ~ ! (a command)	šǫ́ ðíe
alone, leave it ~	kaašǫ́e che
along: leave ~ without bothering, touching, or otherwise disturbing	šǫ́cheðé
along, alongside	páskuha
along a path	ha
along that way	ée htáha
already	ðiištą́
Alred: Jo Ann Shunkamolah ~ (personal name: Looking Only at Her)	eeną́tǫįpe
also	éški, ški, -škitą
always	háachi, íkiha, kaašǫ́e, ną [ITERATIVE], šǫǫšǫ́we, štą
always did	nąpe
always late	ókxąži
amen	kaašéną
among: be ~	oðízą, omą́ðį
among: be ~ a group of people	omą́ðį
among: be ~ others	oðízą
among: mixed ~	íwihe
amount: large ~	huuhtą́ka
amount: small ~	hépežį
amount: small ~ (approximately half a container)	hépe
amount: small ~ (not quite filling a container)	ohépe
