Note: This is the same as the other Osage dictionary on file, but with indications of tone, vowel-length and aspiration/preaspiration.

a, an	𐓷𐓣͘, 𐓷𐓣͘𐓸𐓲𐓟	wį, wįxce
abalone	𐓳𐓶́𐓤𐓟	hcúke
abandon someone	𐓤𐓣𐓥𐓪̄𐓬𐓮𐓟, 𐓪𐓥𐓣́𐓵𐓟	kihkoopse, ohkíðe
abdomen	𐓳𐓟́𐓺𐓟, 𐓷𐓘́𐓩𐓪͘𐓜𐓟́𐓪̄𐓻𐓶́	hcéze, wánǫbréoožú
abhor	𐓣̋𐓮𐓣	íisi
abnormal in appearance	𐓟́𐓻𐓣𐓸𐓲𐓣 	éžixci 
abode	𐓪𐓳𐓣́𐓧𐓟	ohcíle
abound	𐓪𐓴𐓣́	ochí
about (i.e., 'almost', as in 'about asleep'), about to	𐓵𐓪́𐓡𐓘	ðóha
above	𐓨𐓘͘š𐓣́𐓱𐓘	mąšíhta
above: be ~ others	𐓘́𐓧𐓣̄͘𐓡𐓘	álįįha
above: go, be, or place something ~	𐓘́𐓨𐓘͘š𐓣	ámąši
above: place ~	𐓨𐓘͘š𐓣́𐓱𐓘	mąšíhta
above something else	𐓘́𐓨𐓘͘š𐓣	ámąši
abroad	𐓩𐓣̋𐓨𐓘͘𐓮𐓟	níimąse
abrupt, abruptly	𐓪́𐓡𐓟𐓮𐓘𐓻𐓣	óhesaži
absent: be ~	𐓵𐓣͘𐓤𐓟́	ðįké
absurd	𐓪́𐓤𐓘̄𐓹𐓠𐓤𐓟	ókaaɣeįke
abundance	𐓪́š𐓟	óše
abundance: disorderly ~	𐓰𐓘̋𐓰𐓘͘ 𐓪𐓴𐓣́	táatą ochí
abundant: be ~ in quantity	𐓪́š𐓟	óše
accept	𐓣̄𐓩𐓘́͘𐓡𐓣	iiną́hi
accompany	𐓻𐓪́𐓧𐓟	žóle
accomplish a task for someone (especially drumming for someone else's singing in a peyote meeting)	𐓘́𐓷𐓘š𐓣	áwaši
ace (in a deck of cards)	𐓪𐓥𐓘́͘𐓲𐓣𐓧𐓘͘	ohką́cilą
achieve success for someone	𐓵𐓘̋𐓧𐓣͘ 𐓤š𐓣́𐓵𐓟	ðáalį kšíðe
acorn	𐓭𐓪𐓮𐓶́	hposú
acquainted: be ~ with	𐓣́𐓬𐓘𐓡𐓪͘	ípahǫ
acquainted: get or become ~ with each other	𐓵𐓪́𐓰𐓘𐓥𐓣𐓵𐓟	ðótahkiðe
acrid smell	𐓺𐓘́͘𐓺𐓣	zą́zi
across	𐓘́𐓵𐓶̄𐓱𐓘	áðuuhta
act (noun)	𐓪́𐓤'𐓘͘ 	ók'ą 
act a certain way	𐓨𐓘͘𐓵𐓣́͘	mąðį́
act like	𐓣́𐓤𐓪͘𐓮𐓤𐓘𐓥𐓣́𐓵𐓟, 𐓪́𐓤'𐓘	íkǫskahkíðe, ók'a
act unsuitably	𐓪́𐓤'𐓘 𐓟𐓻𐓣 	ók'a eži 
act with rectitude	𐓪́𐓵𐓪𐓱𐓘͘𐓥𐓣𐓵𐓟	óðohtąhkiðe
activate by pushing on	𐓬𐓘̄𐓹𐓣́ 	paaɣí 
active	𐓷𐓘𐓱𐓪́𐓤𐓟	wahtóke
add a little more to	𐓷𐓟́𐓡𐓶̄𐓻𐓣͘	wéhuužį
add in cooking	𐓪𐓵𐓪́𐓥𐓣𐓡𐓘͘	oðóhkihą
add items to cooking	𐓪̄𐓧𐓘́͘	oolą́
address as friends and relatives, address with respect	𐓷𐓘𐓡𐓪́͘𐓣͘	wahǫ́į
adhere to	𐓘́𐓮𐓰𐓘	ásta
adjacent	𐓬𐓘́𐓮𐓤𐓶𐓡𐓘	páskuha
adjourn	𐓬𐓘𐓩𐓘̋	panáa
administer medical care to someone	š𐓲𐓟́𐓵𐓟	šcéðe
admire	𐓪́𐓻𐓪 𐓘́𐓻𐓣	óžo áži
adulthood, adults	𐓩𐓪́͘𐓪͘	nǫ́ǫ
advance: in ~	𐓭𐓘𐓡𐓘́͘𐓧𐓟	hpahą́le
advanced age	𐓩𐓪́͘𐓪͘	nǫ́ǫ
affect a person	𐓪𐓨𐓘́͘𐓵𐓣͘	omą́ðį
affected: have one's body ~ by peyote	𐓨𐓘́͘𐓥𐓘𐓻𐓪́𐓣𐓤𐓘	mą́hkažóika
afraid	𐓵𐓘́͘𐓘͘𐓲𐓟 𐓪́𐓵𐓣𐓮𐓘͘𐓡𐓘, 𐓵𐓘́͘𐓘͘𐓲𐓟 𐓪́𐓮𐓘𐓣	ðą́ące óðisąha, ðą́ące ósai
afraid: be ~ (of)	𐓩𐓪́͘𐓪͘𐓭𐓟, 𐓪𐓩𐓣́͘𐓻𐓣͘	nǫ́ǫhpe, onį́žį
afraid: be ~ of	𐓣̋𐓩𐓪̄͘𐓭𐓟	íinǫǫhpe
afraid: something to be ~ of	𐓩𐓪́͘𐓪͘𐓭𐓟𐓷𐓘𐓵𐓟	nǫ́ǫhpewaðe
African American	𐓨𐓣͘𐓥𐓘́𐓮𐓘, 𐓨𐓣̄͘𐓘́𐓮𐓘, 𐓩𐓣́𐓥𐓘 𐓮𐓘́𐓬𐓟	mįhkása, mįįása, níhka sápe
after	𐓘́𐓧𐓣̄͘𐓡𐓘	álįįha
after the present event	𐓘́𐓤𐓘𐓡𐓘𐓱𐓘	ákahahta
afternoon	𐓨𐓣́͘𐓣͘𐓵𐓪́𐓱𐓘 𐓵𐓣̄š𐓰𐓘	mį́įðóhta ðiišta
afternoon: late ~	𐓨𐓣́͘𐓣͘𐓭𐓘𐓬𐓪	mį́įhpapo
