This is the first Osage dictionary in the modern orthography =)
Each Osage word is written in the Osage alphabet and in a Latin transliteration
Can't see the Osage on your device? Download a font: https://www.google.com/get/noto/#sans-osge
This was not possible without the help of many volunteers
Thanks to Jakub, Wojtek, Filippos, Jonás, Victor, Aaron, Tahsin, Hubert, Christopher, Santiago, Max, and Batyah
Special thanks to Craig, Mark, Michele, and Aino!
I hope that this project will help people learn Osage so that the language can be passed onto future generations
-Harris

a, an	𐓷𐓣͘, 𐓷𐓣͘𐓸𐓲𐓟	wį, wįxce
abalone	𐓲𐓶𐓤𐓟	hcúke
abandon someone	𐓤𐓣𐓤𐓪𐓬𐓮𐓟, 𐓪𐓤𐓣𐓵𐓟	kihkoopse, ohkíðe
abdomen	𐓲𐓟𐓺𐓟, 𐓷𐓘𐓩𐓪͘𐓜𐓟𐓪ž𐓶	hcéze, wánǫbréoožú
abhor	𐓣𐓮𐓣	íisi
abnormal in appearance	𐓟ž𐓣𐓸𐓲𐓣 	éžixci 
abode	𐓪𐓲𐓣𐓧𐓟	ohcíle
abound	𐓪𐓲𐓣	ochí
about (i.e., 'almost', as in 'about asleep'), about to	𐓵𐓪𐓡𐓘	ðóha
above	𐓨𐓘͘𐓯𐓣𐓰𐓘	mąšíhta
above: be ~ others	𐓘𐓧𐓣͘𐓡𐓘	álįįha
above: go, be, or place something ~	𐓘𐓨𐓘͘𐓯𐓣	ámąši
above: place ~	𐓨𐓘͘𐓯𐓣𐓰𐓘	mąšíhta
above something else	𐓘𐓨𐓘͘𐓯𐓣	ámąši
abroad	𐓩𐓣𐓨𐓘͘𐓮𐓟	níimąse
abrupt, abruptly	𐓪𐓡𐓟𐓮𐓘ž𐓣	óhesaži
absent: be ~	𐓵𐓣͘𐓤𐓟	ðįké
absurd	𐓪𐓤𐓘𐓹𐓠𐓤𐓟	ókaaɣeįke
abundance	𐓪𐓯𐓟	óše
abundance: disorderly ~	𐓰𐓘𐓰𐓘͘ 𐓪𐓲𐓣	táatą ochí
abundant: be ~ in quantity	𐓪𐓯𐓟	óše
accept	𐓣𐓩𐓘͘𐓡𐓣	iiną́hi
accompany	ž𐓪𐓧𐓟	žóle
accomplish a task for someone (especially drumming for someone else's singing in a peyote meeting)	𐓘𐓷𐓘𐓯𐓣	áwaši
ace (in a deck of cards)	𐓪𐓤𐓘͘𐓲𐓣𐓧𐓘͘	ohką́cilą
achieve success for someone	𐓵𐓘𐓧𐓣͘ 𐓤𐓯𐓣𐓵𐓟	ðáalį kšíðe
acorn	𐓬𐓪𐓮𐓶	hposú
acquainted: be ~ with	𐓣𐓬𐓘𐓡𐓪͘	ípahǫ
acquainted: get or become ~ with each other	𐓵𐓪𐓰𐓘𐓤𐓣𐓵𐓟	ðótahkiðe
acrid smell	𐓺𐓘͘𐓺𐓣	zą́zi
across	𐓘𐓵𐓶𐓰𐓘	áðuuhta
act (noun)	𐓪𐓤'𐓘͘ 	ók'ą 
act a certain way	𐓨𐓘͘𐓵𐓣́͘	mąðį́
act like	𐓣𐓤𐓪͘𐓮𐓤𐓘𐓤𐓣𐓵𐓟, 𐓪𐓤'𐓘	íkǫskahkíðe, ók'a
act unsuitably	𐓪𐓤'𐓘 𐓟ž𐓣 	ók'a eži 
act with rectitude	𐓪𐓵𐓪𐓰𐓘͘𐓤𐓣𐓵𐓟	óðohtąhkiðe
activate by pushing on	𐓬𐓘𐓹𐓣 	paaɣí 
active	𐓷𐓘𐓰𐓪𐓤𐓟	wahtóke
add a little more to	𐓷𐓟𐓡𐓶ž𐓣͘	wéhuužį
add in cooking	𐓪𐓵𐓪𐓤𐓣𐓡𐓘͘	oðóhkihą
add items to cooking	𐓪𐓧𐓘͘	oolą́
address as friends and relatives, address with respect	𐓷𐓘𐓡𐓪͘𐓣͘	wahǫ́į
adhere to	𐓘𐓮𐓰𐓘	ásta
adjacent	𐓬𐓘𐓮𐓤𐓶𐓡𐓘	páskuha
adjourn	𐓬𐓘𐓩𐓘	panáa
administer medical care to someone	𐓯𐓲𐓟𐓵𐓟	šcéðe
admire	𐓪ž𐓪 𐓘ž𐓣	óžo áži
adulthood, adults	𐓩𐓪͘	nǫ́ǫ
